enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
26217,city_160,0.92,Male,No relevent experience,no_enrollment,,,6,,,never,33,0.0
54,city_73,0.754,Male,Has relevent experience,Part time course,Graduate,STEM,8,100-500,NGO,1,34,0.0
15309,city_89,0.925,,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Public Sector,never,80,0.0
7133,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,55,0.0
3269,city_114,0.926,Male,Has relevent experience,Full time course,Graduate,STEM,15,50-99,Pvt Ltd,1,111,0.0
20804,city_103,0.92,Male,No relevent experience,no_enrollment,High School,,2,,,never,214,0.0
19489,city_50,0.8959999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,<10,Funded Startup,1,50,0.0
14974,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,NGO,1,50,0.0
9385,city_136,0.897,,No relevent experience,no_enrollment,Masters,STEM,7,500-999,Pvt Ltd,1,27,0.0
30757,city_21,0.624,,Has relevent experience,no_enrollment,Masters,STEM,14,50-99,Pvt Ltd,4,44,1.0
8913,city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,18,,Public Sector,4,53,0.0
15919,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,<1,50-99,Pvt Ltd,1,110,0.0
16686,city_16,0.91,,Has relevent experience,Full time course,Graduate,STEM,14,10000+,Pvt Ltd,never,9,0.0
29399,city_160,0.92,Male,No relevent experience,no_enrollment,Graduate,Humanities,8,100-500,Pvt Ltd,1,41,0.0
5668,city_105,0.794,Male,No relevent experience,Full time course,Graduate,STEM,1,,,never,78,0.0
20369,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,7,10000+,,1,35,0.0
19649,city_21,0.624,Male,No relevent experience,no_enrollment,,,7,,,never,46,1.0
23971,city_149,0.6890000000000001,Female,No relevent experience,no_enrollment,Graduate,STEM,3,100-500,Public Sector,1,72,0.0
22685,city_100,0.887,Male,Has relevent experience,no_enrollment,Masters,No Major,>20,,,3,42,0.0
18994,city_21,0.624,,Has relevent experience,no_enrollment,Masters,STEM,18,1000-4999,Pvt Ltd,1,107,0.0
23496,city_21,0.624,Male,No relevent experience,no_enrollment,Primary School,,4,,,never,15,0.0
19580,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,500-999,Funded Startup,1,20,0.0
2294,city_100,0.887,Male,Has relevent experience,no_enrollment,Masters,STEM,12,<10,Pvt Ltd,>4,61,0.0
18006,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,Pvt Ltd,>4,21,0.0
6625,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,1000-4999,Pvt Ltd,>4,61,0.0
18927,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,10000+,Pvt Ltd,>4,47,0.0
28443,city_21,0.624,Male,Has relevent experience,,Masters,STEM,9,100-500,Pvt Ltd,2,43,0.0
27982,city_136,0.897,,No relevent experience,Part time course,Graduate,STEM,4,10000+,Public Sector,,20,1.0
9475,city_28,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,1000-4999,Pvt Ltd,>4,11,0.0
12224,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,>4,59,1.0
15490,city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,2,24,0.0
7649,city_158,0.7659999999999999,Male,Has relevent experience,Full time course,Graduate,STEM,4,50-99,Pvt Ltd,2,92,1.0
6004,city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,1,10,1.0
22585,city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,2,1000-4999,Pvt Ltd,1,17,0.0
18040,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,9,100-500,,1,112,0.0
17432,city_16,0.91,Female,Has relevent experience,no_enrollment,Graduate,STEM,13,50-99,Pvt Ltd,>4,15,0.0
5778,city_71,0.884,,Has relevent experience,no_enrollment,Graduate,STEM,3,500-999,Pvt Ltd,2,36,1.0
235,city_16,0.91,,No relevent experience,Full time course,Graduate,STEM,6,,Pvt Ltd,1,35,0.0
8006,city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10/49,Pvt Ltd,1,142,0.0
30694,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,>4,168,0.0
6374,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,14,<10,Pvt Ltd,1,87,1.0
3877,city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,5,1000-4999,Pvt Ltd,>4,39,0.0
2100,city_114,0.926,Male,Has relevent experience,Full time course,Masters,STEM,14,1000-4999,Pvt Ltd,1,12,0.0
618,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,>20,,,>4,31,1.0
9100,city_61,0.913,,Has relevent experience,no_enrollment,Masters,STEM,13,1000-4999,Pvt Ltd,1,108,0.0
16669,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,Other,6,1000-4999,,1,11,0.0
11780,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,1,43,1.0
14502,city_102,0.804,Male,Has relevent experience,no_enrollment,Masters,STEM,14,50-99,Pvt Ltd,>4,30,0.0
12544,city_21,0.624,,Has relevent experience,no_enrollment,Masters,STEM,4,50-99,Funded Startup,1,212,1.0
21629,city_10,0.895,,Has relevent experience,Full time course,Graduate,STEM,2,10000+,Pvt Ltd,1,122,0.0
11356,city_136,0.897,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,50-99,Pvt Ltd,1,44,0.0
15392,city_30,0.698,Male,Has relevent experience,no_enrollment,High School,,8,50-99,Pvt Ltd,>4,21,0.0
12918,city_114,0.926,Male,No relevent experience,Full time course,Graduate,STEM,8,5000-9999,Public Sector,4,31,0.0
4694,city_98,0.949,Male,No relevent experience,no_enrollment,High School,,1,,Pvt Ltd,never,32,0.0
32984,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,1,300,0.0
32667,city_136,0.897,Male,Has relevent experience,no_enrollment,Graduate,Arts,14,,,2,24,0.0
11257,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,2,74,1.0
30203,city_21,0.624,Male,Has relevent experience,Full time course,Masters,STEM,4,50-99,Pvt Ltd,1,22,0.0
20317,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,50-99,Pvt Ltd,3,47,0.0
25248,city_73,0.754,,No relevent experience,no_enrollment,Graduate,STEM,3,<10,Pvt Ltd,never,21,0.0
4461,city_90,0.698,,Has relevent experience,Full time course,Graduate,STEM,8,10/49,Pvt Ltd,,25,1.0
28425,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,No Major,15,50-99,Funded Startup,2,48,1.0
12650,city_114,0.926,Male,No relevent experience,Part time course,High School,,3,100-500,Pvt Ltd,3,105,1.0
5201,city_102,0.804,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,,,1,89,1.0
24104,city_44,0.725,Male,Has relevent experience,Full time course,Graduate,STEM,6,50-99,,3,10,1.0
29855,city_91,0.691,Male,No relevent experience,no_enrollment,Graduate,STEM,11,,,4,4,0.0
8553,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,5000-9999,Pvt Ltd,1,71,0.0
28723,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,Public Sector,1,50,0.0
13256,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,,,2,15,1.0
5378,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,,1,126,0.0
16665,city_21,0.624,,Has relevent experience,no_enrollment,Masters,STEM,11,,,>4,53,0.0
19982,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,76,0.0
23533,city_103,0.92,,No relevent experience,Full time course,High School,,2,500-999,Pvt Ltd,1,40,0.0
13295,city_74,0.579,,No relevent experience,Full time course,High School,,4,,,never,38,0.0
28993,city_103,0.92,Male,Has relevent experience,Full time course,Graduate,Humanities,4,,,3,32,1.0
12679,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,>20,10000+,Pvt Ltd,>4,57,0.0
29549,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,4,50-99,Pvt Ltd,1,113,0.0
12685,city_100,0.887,,Has relevent experience,no_enrollment,High School,,6,100-500,Pvt Ltd,1,61,0.0
22047,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,15,5000-9999,Pvt Ltd,2,64,0.0
7472,city_160,0.92,Male,No relevent experience,Full time course,Graduate,STEM,10,500-999,Public Sector,1,178,0.0
7929,city_36,0.893,Male,Has relevent experience,Part time course,Graduate,STEM,6,10/49,Pvt Ltd,4,5,0.0
31194,city_33,0.4479999999999999,,No relevent experience,,High School,,5,,Pvt Ltd,never,86,1.0
4220,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10/49,Pvt Ltd,4,23,1.0
25607,city_103,0.92,Other,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,78,0.0
28750,city_2,0.7879999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,>4,126,0.0
2162,city_89,0.925,Male,Has relevent experience,no_enrollment,Graduate,Arts,20,50-99,Pvt Ltd,2,4,0.0
22850,city_114,0.926,Female,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Pvt Ltd,2,18,0.0
17009,city_103,0.92,,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,3,43,0.0
11819,city_45,0.89,Male,No relevent experience,no_enrollment,,,2,,,never,33,0.0
26762,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,17,500-999,Pvt Ltd,2,73,0.0
12439,city_75,0.939,,Has relevent experience,no_enrollment,Graduate,STEM,16,500-999,Pvt Ltd,2,100,0.0
8399,city_103,0.92,Male,Has relevent experience,no_enrollment,Primary School,,>20,100-500,Pvt Ltd,>4,19,1.0
11950,city_75,0.939,,Has relevent experience,no_enrollment,Masters,STEM,2,10000+,Pvt Ltd,1,28,0.0
4723,city_144,0.84,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,,,>4,6,0.0
442,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,>20,50-99,Pvt Ltd,4,24,0.0
23094,city_53,0.74,Male,Has relevent experience,Full time course,Graduate,STEM,11,10000+,Pvt Ltd,>4,32,0.0
29302,city_73,0.754,Male,No relevent experience,no_enrollment,Masters,STEM,10,,,1,157,0.0
21286,city_21,0.624,Male,Has relevent experience,no_enrollment,High School,,12,,,2,135,0.0
3898,city_23,0.899,Male,Has relevent experience,Part time course,Primary School,,11,5000-9999,Pvt Ltd,1,178,0.0
29244,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,4,6,1.0
24229,city_114,0.926,Male,Has relevent experience,Full time course,Masters,STEM,11,1000-4999,Public Sector,1,13,0.0
30368,city_128,0.527,Male,Has relevent experience,Full time course,High School,,5,,,never,3,0.0
22372,city_21,0.624,,No relevent experience,Full time course,,,2,,,never,15,1.0
16493,city_28,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,8,1000-4999,NGO,3,60,0.0
6505,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,10000+,Pvt Ltd,2,170,0.0
9884,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,13,<10,Pvt Ltd,4,30,1.0
13560,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,5,100-500,Pvt Ltd,1,80,0.0
16375,city_21,0.624,Male,Has relevent experience,Full time course,Masters,STEM,<1,10/49,Pvt Ltd,1,4,0.0
22741,city_13,0.8270000000000001,,Has relevent experience,no_enrollment,High School,,>20,500-999,Pvt Ltd,4,30,1.0
10700,city_100,0.887,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,10/49,,1,168,1.0
14059,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Funded Startup,1,66,0.0
4339,city_103,0.92,Male,Has relevent experience,no_enrollment,,,>20,5000-9999,Pvt Ltd,1,6,0.0
31711,city_20,0.7959999999999999,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,,,>4,86,0.0
9499,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,Humanities,4,100-500,Funded Startup,3,162,0.0
19249,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,1,83,0.0
17895,city_21,0.624,Male,No relevent experience,no_enrollment,Masters,Other,,10000+,,never,204,1.0
17590,city_114,0.926,Male,Has relevent experience,Full time course,High School,,2,50-99,Pvt Ltd,1,148,0.0
24168,city_114,0.926,,Has relevent experience,no_enrollment,Masters,STEM,17,100-500,Pvt Ltd,1,50,0.0
19096,city_103,0.92,Male,No relevent experience,no_enrollment,,,3,,,never,72,0.0
23945,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,224,0.0
17242,city_128,0.527,,No relevent experience,no_enrollment,High School,,<1,,,never,55,0.0
28358,city_77,0.83,Male,Has relevent experience,Full time course,Graduate,STEM,6,100-500,Pvt Ltd,>4,40,0.0
12625,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,9,10000+,Pvt Ltd,>4,91,1.0
22219,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,3,17,0.0
9734,city_103,0.92,,No relevent experience,Full time course,High School,,<1,,,never,20,0.0
10972,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,18,10000+,Pvt Ltd,3,57,0.0
23975,city_75,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,13,5000-9999,Public Sector,1,161,0.0
10750,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,>4,26,1.0
10392,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,5000-9999,Other,>4,53,0.0
29449,city_128,0.527,,No relevent experience,Full time course,Graduate,STEM,<1,,,1,19,1.0
20568,city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Masters,STEM,16,50-99,Pvt Ltd,>4,160,0.0
20342,city_75,0.939,Male,No relevent experience,no_enrollment,Graduate,STEM,5,,,1,106,0.0
22376,city_19,0.682,,No relevent experience,Full time course,Graduate,STEM,4,,,never,24,1.0
6437,city_103,0.92,,No relevent experience,no_enrollment,Graduate,STEM,4,5000-9999,Public Sector,2,6,0.0
19062,city_19,0.682,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Funded Startup,2,224,0.0
23662,city_103,0.92,,Has relevent experience,,Masters,Humanities,<1,50-99,Funded Startup,1,34,0.0
13718,city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,12,100-500,Pvt Ltd,2,7,0.0
19284,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,1,44,0.0
8507,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,Other,5,50-99,,2,154,0.0
31205,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,2,220,0.0
16636,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,15,50-99,Pvt Ltd,1,24,0.0
21409,city_143,0.74,,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,2,44,0.0
2598,city_9,0.743,Male,Has relevent experience,Part time course,Masters,STEM,11,100-500,Pvt Ltd,2,46,0.0
22567,city_152,0.698,,Has relevent experience,Full time course,Graduate,STEM,11,10/49,Pvt Ltd,1,50,1.0
19095,city_50,0.8959999999999999,,Has relevent experience,no_enrollment,High School,,3,10/49,Funded Startup,1,28,0.0
3513,city_83,0.923,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,1,14,0.0
15818,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,<10,Early Stage Startup,2,82,0.0
18526,city_136,0.897,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,500-999,Funded Startup,never,21,0.0
10081,city_116,0.743,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,<10,Early Stage Startup,1,8,0.0
18146,city_100,0.887,Male,Has relevent experience,Part time course,Graduate,STEM,6,100-500,Pvt Ltd,3,79,0.0
31399,city_19,0.682,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,,,4,51,0.0
28804,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Public Sector,>4,84,0.0
31468,city_97,0.925,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,50-99,Pvt Ltd,1,35,0.0
15248,city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,5,10000+,Pvt Ltd,3,264,1.0
9016,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,4,100-500,Early Stage Startup,never,85,0.0
5434,city_114,0.926,Male,No relevent experience,no_enrollment,High School,,2,,Pvt Ltd,never,67,0.0
21417,city_162,0.767,Male,Has relevent experience,Full time course,Graduate,STEM,15,,,1,174,0.0
28703,city_136,0.897,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,100-500,Pvt Ltd,1,31,0.0
7177,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,Pvt Ltd,>4,7,1.0
10383,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,1000-4999,Pvt Ltd,>4,66,0.0
31077,city_21,0.624,Other,Has relevent experience,Full time course,Graduate,STEM,5,,Pvt Ltd,never,50,1.0
2935,city_67,0.855,Male,No relevent experience,Full time course,High School,,7,,,1,55,1.0
22018,city_91,0.691,Male,Has relevent experience,Full time course,Graduate,STEM,6,,,1,60,1.0
21086,city_103,0.92,,Has relevent experience,no_enrollment,Masters,STEM,14,10000+,Public Sector,3,55,0.0
32821,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,1000-4999,Public Sector,2,29,1.0
9409,city_84,0.698,Other,Has relevent experience,no_enrollment,Graduate,STEM,4,50-99,Pvt Ltd,3,50,0.0
28830,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,6,,,never,21,1.0
25311,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,,,2,112,1.0
9203,city_102,0.804,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,1,43,0.0
1414,city_101,0.5579999999999999,,Has relevent experience,no_enrollment,Graduate,STEM,5,10/49,Early Stage Startup,,141,0.0
8099,city_104,0.924,,Has relevent experience,no_enrollment,High School,,7,50-99,Pvt Ltd,4,72,0.0
27708,city_94,0.698,Male,No relevent experience,Full time course,Graduate,STEM,5,5000-9999,,,24,1.0
30888,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,Pvt Ltd,>4,34,0.0
2400,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,100-500,Funded Startup,1,32,1.0
22156,city_59,0.775,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Pvt Ltd,2,108,0.0
2874,city_41,0.8270000000000001,,Has relevent experience,Part time course,Masters,,18,10000+,Pvt Ltd,>4,49,1.0
26925,city_158,0.7659999999999999,Other,Has relevent experience,Full time course,Graduate,STEM,15,5000-9999,,never,30,1.0
27656,city_167,0.921,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,10/49,Pvt Ltd,>4,200,0.0
21430,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,17,50-99,Pvt Ltd,2,123,1.0
3080,city_160,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,9,10000+,Pvt Ltd,4,90,0.0
30315,city_162,0.767,,No relevent experience,no_enrollment,Graduate,Other,9,100-500,Public Sector,3,31,0.0
30848,city_16,0.91,Male,No relevent experience,no_enrollment,High School,,2,,,never,17,0.0
12624,city_136,0.897,Male,No relevent experience,Full time course,Graduate,STEM,4,,,never,42,0.0
22272,city_73,0.754,Male,No relevent experience,Full time course,Graduate,STEM,6,,,never,11,1.0
17945,city_160,0.92,Male,Has relevent experience,Part time course,Graduate,Arts,3,500-999,Pvt Ltd,3,37,0.0
21196,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,10000+,Pvt Ltd,2,41,0.0
19142,city_100,0.887,Male,No relevent experience,no_enrollment,High School,,3,,,never,78,0.0
12955,city_103,0.92,,No relevent experience,no_enrollment,High School,,2,,,never,91,0.0
12456,city_134,0.698,Male,No relevent experience,no_enrollment,,,<1,100-500,Pvt Ltd,,50,1.0
18194,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,>4,69,0.0
29985,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,1,124,0.0
339,city_73,0.754,,Has relevent experience,Part time course,High School,,14,,,1,23,0.0
23819,city_136,0.897,Male,No relevent experience,Part time course,Graduate,STEM,3,,,1,78,1.0
4178,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,4,22,0.0
14570,city_100,0.887,Male,No relevent experience,Part time course,Graduate,STEM,2,,,never,36,0.0
3034,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,1000-4999,Pvt Ltd,1,7,0.0
12034,city_114,0.926,Male,Has relevent experience,no_enrollment,High School,,18,,,never,21,1.0
25301,city_136,0.897,Male,No relevent experience,Part time course,Masters,STEM,3,50-99,Public Sector,3,156,0.0
953,city_102,0.804,,Has relevent experience,no_enrollment,Graduate,STEM,10,500-999,Pvt Ltd,1,14,0.0
33305,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,No Major,14,50-99,Pvt Ltd,>4,22,0.0